INSTITUTION	STATE	COUNTRY	FY	TOTAL_FUNDING
BAYLOR COLLEGE OF MEDICINE	TX	UNITED STATES	2015	320963
STATE UNIVERSITY NEW YORK STONY BROOK	NY	UNITED STATES	2015	1308390
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2015	1736914
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2015	539654
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	163620
ZENALUX BIOMEDICAL INC	NC	UNITED STATES	2015	641851
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2015	249000
LIFESENSORS INC	PA	UNITED STATES	2015	739313
UNIVERSITY OF MARYLAND COLLEGE PK CAMPUS	MD	UNITED STATES	2015	67974
CHILDREN'S RESEARCH INSTITUTE	DC	UNITED STATES	2015	440795
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2015	174000
UNIVERSITY OF MARYLAND COLLEGE PK CAMPUS	MD	UNITED STATES	2015	76000
GEORGETOWN UNIVERSITY	DC	UNITED STATES	2015	77750
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2015	428238
UNIVERSITY OF ABERDEEN	CA	UNITED KINGDOM	2015	144467
GEORGIA STATE UNIVERSITY	GA	UNITED STATES	2015	307100
MAYO CLINIC	MN	UNITED STATES	2015	172095
UNIVERSITY OF CHICAGO	IL	UNITED STATES	2015	170781
UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT	TX	UNITED STATES	2015	459144
NORTHWESTERN UNIVERSITY AT CHICAGO	IL	UNITED STATES	2015	641158
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2015	467265
RICE UNIVERSITY	TX	UNITED STATES	2015	500000
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2015	487661
BON SECOURS RICHMOND COMMUNITY HOSPITAL	VA	UNITED STATES	2015	152685
COLD SPRING HARBOR LABORATORY	NY	UNITED STATES	2015	555711
UNIVERSITY OF VIRGINIA CHARLOTTESVILLE	VA	UNITED STATES	2015	327850
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2015	190237
FLORIDA A &amp; M UNIVERSITY	FL	UNITED STATES	2015	171681
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2015	209245
CITY COLLEGE OF NEW YORK	NY	UNITED STATES	2015	186816
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2015	444063
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2015	1940892
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2015	381478
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2015	558665
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2015	402500
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2015	396250
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2015	427900
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2015	741769
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2015	383750
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2015	324000
STANFORD UNIVERSITY	CA	UNITED STATES	2015	43120
YALE UNIVERSITY	CT	UNITED STATES	2015	2185000
YALE UNIVERSITY	CT	UNITED STATES	2015	404486
YALE UNIVERSITY	CT	UNITED STATES	2015	381250
YALE UNIVERSITY	CT	UNITED STATES	2015	472589
YALE UNIVERSITY	CT	UNITED STATES	2015	509576
YALE UNIVERSITY	CT	UNITED STATES	2015	845761
YALE UNIVERSITY	CT	UNITED STATES	2015	632681
YALE UNIVERSITY	CT	UNITED STATES	2015	336957
YALE UNIVERSITY	CT	UNITED STATES	2015	451752
YALE UNIVERSITY	CT	UNITED STATES	2015	377500
BETH ISRAEL DEACONESS MEDICAL CENTER	MA	UNITED STATES	2015	2185000
UNIVERSITY OF TEXAS SW MED CTR	TX	UNITED STATES	2015	2041142
