	YEAR	INSTITUTION	PATENTS_FILED_COUNT	PATENTS_GRANTED_COUNT	ONGOING_TRIALS_COUNT	STATE	TOTAL_FUNDING
297	2003.0	UNIVERSITY OF CENTRAL FLORIDA	1.0	0.0	0.0		
298	2003.0	UNIVERSITY OF FLORIDA	5.0	0.0	0.0		
299	2003.0	UNIVERSITY OF ILLINOIS AT CHICAGO	4.0	1.0	0.0		
300	2003.0	UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN	2.0	0.0	0.0		
301	2003.0	UNIVERSITY OF IOWA	3.0	2.0	2.0		
302	2003.0	UNIVERSITY OF KENTUCKY	1.0	0.0	1.0		
303	2003.0	UNIVERSITY OF MARYLAND BALTIMORE	5.0	1.0	0.0		
304	2003.0	UNIVERSITY OF MASSACHUSETTS MEDICAL SCH	3.0	0.0	0.0		
305	2003.0	UNIVERSITY OF MICHIGAN	7.0	1.0	0.0		
306	2003.0	UNIVERSITY OF MINNESOTA	2.0	0.0	0.0		
307	2003.0	UNIVERSITY OF MISSOURI-COLUMBIA	1.0	0.0	0.0		
308	2003.0	UNIVERSITY OF NEBRASKA MEDICAL CENTER	3.0	0.0	0.0		
309	2003.0	UNIVERSITY OF PENNSYLVANIA	2.0	0.0	1.0		
310	2003.0	UNIVERSITY OF PITTSBURGH	6.0	1.0	1.0		
311	2003.0	UNIVERSITY OF ROCHESTER	1.0	0.0	6.0		
312	2003.0	UNIVERSITY OF SOUTH ALABAMA	1.0	0.0	0.0		
313	2003.0	UNIVERSITY OF SOUTH FLORIDA	3.0	0.0	2.0		
314	2003.0	UNIVERSITY OF SOUTHERN CALIFORNIA	1.0	0.0	3.0		
315	2003.0	UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON	3.0	0.0	0.0		
316	2003.0	UNIVERSITY OF TEXAS, AUSTIN	1.0	1.0	0.0		
317	2003.0	UNIVERSITY OF TOLEDO	1.0	0.0	0.0		
318	2003.0	UNIVERSITY OF TX MD ANDERSON CAN CTR	4.0	2.0	0.0		
319	2003.0	UNIVERSITY OF UTAH	4.0	2.0	0.0		
320	2003.0	UNIVERSITY OF VIRGINIA	1.0	1.0	0.0		
321	2003.0	UNIVERSITY OF WASHINGTON	6.0	2.0	5.0		
322	2003.0	UNIVERSITY OF WISCONSIN-MADISON	8.0	6.0	0.0		
323	2003.0	UT SOUTHWESTERN MEDICAL CENTER	6.0	0.0	0.0		
324	2003.0	VANDERBILT UNIVERSITY	4.0	0.0	0.0		
325	2003.0	VIRGINIA COMMONWEALTH UNIVERSITY	1.0	0.0	1.0		
326	2003.0	WADSWORTH CENTER	2.0	0.0	0.0		
327	2003.0	WAKE FOREST UNIVERSITY	1.0	0.0	0.0		
